Group,Genome,K00002,K00003,K00005,K00007,K00008,K00009,K00010,K00013,K00014,K00015,K00016,K00018,K00019,K00020,K00021,K00023,K00024,K00027,K00029,K00030,K00031,K00032,K00033,K00035,K00057,K00065,K00091,K00097,K00128,K00208,K00228,K00231,K00287,K00311,K00320,K00341,K00383,K00392,K00411,K00413,K00432,K00457,K00459,K00477,K00483,K00537,K00558,K00560,K00568,K00571
sponge,IRC_PAM_SB0664_bin_21,0,4.545,0,0,4.545,4.545,4.545,4.545,4.545,4.545,0,4.545,0,4.545,0,0,4.545,0,4.545,0,4.545,0,4.545,0,0,4.545,0,0,0,4.545,0,0,0,0,9.091,9.091,0,0,0,0,0,0,0,0,0,0,4.545,0,0,9.091
seawater,seawater_seasim_SB9157_S6_bin_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,8.333,0,0,0,8.333,0,0,0,8.333,0,8.333,0,16.667,0,0,0,8.333,0,0,8.333,0,0,0,0,0,8.333,0,0,0,8.333,0,0,0,8.333
sponge,IRC_PAM_SB0667_bin_13,0,11.111,0,0,11.111,0,0,11.111,11.111,0,0,0,0,0,0,0,11.111,0,0,0,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111,0,11.111,0,0,0,0,0,0,0,0,11.111,0,0,0
sponge,STY4_bin_4,0,3.125,0,0,0,0,0,3.125,3.125,0,0,0,0,6.25,0,0,3.125,0,3.125,0,3.125,0,0,0,3.125,0,0,6.25,3.125,3.125,3.125,0,0,3.125,0,3.125,3.125,0,3.125,3.125,0,0,0,0,6.25,3.125,3.125,0,3.125,25.0
sponge,CAR4_bin_2,0,0,0,0,2.326,0,0,2.326,4.651,0,0,0,0,2.326,2.326,0,2.326,0,0,2.326,2.326,0,2.326,0,2.326,0,2.326,2.326,2.326,2.326,0,2.326,2.326,0,0,2.326,0,0,0,0,0,0,0,0,0,0,25.581,4.651,0,27.907
sponge,IRC_PAM_SB0664_bin_3,0,6.667,0,0,0,0,0,6.667,0,0,0,0,0,0,0,6.667,13.333,0,0,0,6.667,0,0,0,6.667,0,0,0,0,6.667,0,6.667,0,6.667,0,6.667,0,6.667,0,0,0,0,0,0,0,0,0,0,6.667,13.333
sponge,APA_bin_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,6.25,6.25,6.25,0,0,0,6.25,0,6.25,6.25,12.5,0,0,0,0,6.25,0,0,0,0,0,0,0,0,6.25,0,0,0,18.75,0,0,6.25
sponge,RHO3_bin_6,0,2.381,0,0,0,0,2.381,2.381,2.381,4.762,0,0,0,2.381,0,0,2.381,0,0,0,2.381,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,2.381,0,0,2.381,0,0,0,0,2.381,4.762,0,0,59.524
sponge,COS36405_bin_10,0,0,0,0,11.111,0,0,3.704,3.704,3.704,0,0,0,3.704,3.704,0,3.704,0,0,7.407,3.704,0,0,0,3.704,0,7.407,0,7.407,3.704,3.704,3.704,3.704,0,0,0,3.704,3.704,0,0,0,3.704,0,0,0,0,7.407,3.704,0,0
sponge,IRC2_bin_5,0,0,0,0,8.0,0,0,4.0,4.0,4.0,0,0,0,4.0,4.0,0,4.0,0,0,8.0,4.0,0,0,0,4.0,0,8.0,0,8.0,4.0,4.0,4.0,4.0,0,0,0,4.0,4.0,0,0,0,4.0,4.0,0,0,0,0,4.0,0,0
sponge,COS36406_bin_6,0,5.263,0,0,0,0,0,5.263,5.263,0,0,5.263,0,10.526,0,0,5.263,0,0,0,5.263,0,5.263,0,0,0,0,0,10.526,5.263,0,5.263,0,0,0,10.526,0,5.263,0,0,5.263,5.263,0,0,0,0,0,0,0,5.263
sponge,RHO2_bin_11,0,5.0,0,0,0,0,0,5.0,5.0,0,0,0,0,5.0,0,0,5.0,0,0,0,5.0,0,5.0,0,5.0,0,5.0,0,0,0,0,5.0,0,0,0,15.0,0,5.0,0,0,5.0,0,0,0,0,5.0,10.0,0,0,10.0
sponge,RHO2_bin_39,0,3.448,0,0,0,0,3.448,3.448,3.448,0,0,0,0,6.897,0,0,3.448,3.448,0,0,3.448,0,0,0,0,0,0,0,3.448,3.448,0,3.448,0,0,6.897,6.897,0,0,0,0,3.448,0,0,3.448,0,3.448,20.69,0,0,13.793
sponge,IRC_PAM_SB0661_bin_24,0,0,0,0,5.0,0,5.0,5.0,5.0,5.0,0,0,0,5.0,5.0,0,5.0,0,0,0,5.0,0,5.0,0,5.0,0,5.0,5.0,5.0,5.0,0,5.0,5.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,5.0
sponge,IRC_PAM_SB0661_bin_30,0,3.226,3.226,0,12.903,0,6.452,3.226,3.226,6.452,0,0,0,3.226,0,0,3.226,0,3.226,0,3.226,0,3.226,0,0,0,6.452,0,0,0,0,3.226,0,0,0,6.452,0,3.226,0,0,0,0,3.226,0,0,3.226,16.129,0,0,3.226
seawater,seawater_seasim_SB9158_S7_bin_9,0,3.03,0,0,6.061,0,0,3.03,3.03,6.061,0,3.03,0,3.03,0,6.061,3.03,0,6.061,0,6.061,0,0,0,3.03,0,3.03,3.03,6.061,6.061,3.03,0,3.03,3.03,0,0,3.03,0,0,3.03,0,0,6.061,0,0,3.03,0,3.03,3.03,0
sponge,COS3_bin_18,0,3.704,0,0,7.407,0,0,0,3.704,7.407,0,0,0,11.111,0,0,3.704,3.704,0,3.704,3.704,0,0,0,3.704,7.407,3.704,0,0,0,0,0,0,0,7.407,7.407,0,0,0,0,0,0,0,0,3.704,0,7.407,0,0,11.111
sponge,COS3_bin_5,0,3.704,0,0,0,0,3.704,3.704,3.704,0,0,0,0,7.407,0,0,3.704,3.704,0,0,3.704,0,0,0,0,0,0,0,0,3.704,0,3.704,0,0,11.111,7.407,0,0,0,0,0,0,0,0,11.111,3.704,14.815,0,0,11.111
sponge,COS4_bin_43,0,3.846,0,0,7.692,0,7.692,3.846,3.846,7.692,0,0,0,0,0,0,3.846,0,0,0,3.846,0,0,0,0,3.846,3.846,0,7.692,3.846,0,0,0,0,7.692,7.692,0,3.846,0,0,0,0,0,3.846,0,0,0,0,0,15.385
sponge,IRC4_bin_2,0,0,0,0,9.091,0,0,4.545,4.545,4.545,0,0,0,4.545,0,0,4.545,0,0,4.545,4.545,0,4.545,0,4.545,0,4.545,4.545,4.545,4.545,0,4.545,4.545,0,0,4.545,0,0,0,0,0,0,0,0,0,0,0,4.545,0,13.636
sponge,CHO1_bin_1,0,2.941,0,0,0,0,5.882,2.941,2.941,2.941,0,0,2.941,8.824,0,2.941,2.941,0,5.882,0,2.941,0,0,0,2.941,0,0,2.941,20.588,5.882,2.941,0,0,2.941,0,2.941,2.941,0,2.941,0,0,2.941,0,0,0,5.882,0,0,0,0
sponge,aplysina_bin,0,0,0,0,5.0,0,7.5,0,2.5,5.0,0,2.5,0,0,0,0,2.5,0,0,0,5.0,0,2.5,0,0,5.0,5.0,0,0,0,2.5,0,2.5,0,0,0,0,2.5,0,0,2.5,0,0,17.5,0,5.0,10.0,0,0,15.0
sponge,CAR2_bin_5,0,2.778,0,0,0,0,0,2.778,2.778,2.778,0,0,0,5.556,0,2.778,2.778,0,5.556,0,5.556,0,0,0,2.778,0,5.556,2.778,5.556,5.556,2.778,0,0,2.778,0,2.778,2.778,0,2.778,2.778,0,2.778,8.333,0,2.778,2.778,5.556,0,2.778,2.778
sponge,Ruegeria_spAU67,0,2.632,0,0,0,0,2.632,2.632,2.632,2.632,0,0,2.632,13.158,0,5.263,2.632,0,5.263,0,2.632,0,0,0,2.632,2.632,0,2.632,13.158,5.263,2.632,0,0,2.632,0,2.632,2.632,0,2.632,2.632,2.632,2.632,0,0,0,5.263,0,0,2.632,0
sponge,RHO1_bin_23,0,6.25,0,0,6.25,0,0,6.25,6.25,0,0,0,0,6.25,0,0,6.25,0,6.25,6.25,6.25,0,0,0,0,0,6.25,0,6.25,0,0,6.25,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,6.25,0,0,6.25
sponge,RHO1_bin_37,0,5.556,0,0,5.556,0,0,5.556,5.556,5.556,0,0,0,5.556,0,0,5.556,0,0,0,5.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.556,0,5.556,0,0,0,0,0,0,0,0,11.111,0,0,33.333
sponge,GCF_900079515,0,0,0,0,0,0,0,3.704,3.704,0,0,3.704,0,3.704,0,0,3.704,3.704,3.704,3.704,3.704,0,3.704,0,3.704,0,0,3.704,0,0,3.704,0,3.704,3.704,0,3.704,3.704,0,3.704,3.704,3.704,3.704,3.704,0,3.704,3.704,0,3.704,7.407,0
seawater,seawater_bettina_36328_bin_5,0,7.692,0,0,0,0,0,0,7.692,0,0,0,0,7.692,0,0,7.692,0,0,0,7.692,0,0,0,7.692,0,0,0,15.385,7.692,7.692,7.692,0,7.692,0,0,0,0,0,0,0,0,0,0,0,0,0,7.692,0,0
sponge,STY2_bin_2,0,2.778,0,0,0,0,0,0,2.778,0,0,2.778,0,2.778,0,0,2.778,0,2.778,0,2.778,0,0,0,2.778,0,0,5.556,2.778,2.778,2.778,0,2.778,2.778,0,0,2.778,0,2.778,2.778,0,0,0,0,2.778,0,0,2.778,2.778,41.667
seawater,seawater_bettina_36328_bin_30,0,3.571,0,0,0,0,3.571,3.571,3.571,3.571,0,0,0,7.143,0,0,3.571,0,3.571,0,3.571,0,0,0,3.571,0,0,3.571,14.286,7.143,3.571,0,0,3.571,0,3.571,3.571,0,3.571,3.571,10.714,0,0,0,0,0,0,0,3.571,0
sponge,RHO1_bin_22,0,3.333,0,0,10.0,3.333,3.333,3.333,3.333,3.333,0,3.333,0,3.333,0,0,3.333,0,3.333,0,3.333,0,3.333,0,0,3.333,0,0,3.333,3.333,0,0,0,0,16.667,6.667,0,0,0,0,0,0,0,0,0,0,6.667,0,0,10.0
sponge,GCF_002573675,0,4.348,0,0,0,0,0,4.348,8.696,0,0,0,4.348,4.348,0,0,4.348,8.696,0,0,4.348,0,8.696,0,4.348,0,0,0,0,4.348,0,4.348,0,0,0,8.696,0,4.348,0,0,4.348,4.348,0,0,0,0,8.696,0,4.348,0
sponge,CAR2_bin_4,0,3.704,3.704,0,0,0,0,3.704,3.704,0,0,0,0,0,0,0,0,0,0,0,0,0,3.704,0,3.704,0,0,3.704,3.704,3.704,3.704,0,0,0,0,0,3.704,0,0,0,0,0,0,0,0,0,18.519,0,0,40.741
sponge,IRC_PAM_SB0662_bin_5,0,6.25,0,0,0,0,0,6.25,6.25,6.25,0,0,6.25,6.25,0,0,6.25,0,0,0,0,0,0,0,6.25,6.25,0,0,0,6.25,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25
sponge,IRC4_bin_3,0,5.882,0,0,5.882,0,0,5.882,0,0,0,0,0,5.882,0,0,5.882,5.882,5.882,0,5.882,0,0,0,0,0,5.882,0,0,0,0,5.882,0,0,0,5.882,0,5.882,0,0,0,0,0,0,0,0,11.765,0,0,17.647
sponge,COS4_bin_42,0,2.0,0,0,4.0,0,6.0,2.0,2.0,2.0,0,0,0,0,0,0,2.0,0,2.0,0,2.0,2.0,2.0,0,0,2.0,2.0,2.0,4.0,2.0,0,2.0,0,0,6.0,4.0,0,2.0,0,0,0,0,0,2.0,0,0,2.0,0,0,42.0
seawater,seawater_seasim_SB9154_S3_bin_4,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,6.667,0,6.667,6.667,6.667,0,0,0,6.667,0,0,6.667,13.333,6.667,0,6.667,0,6.667,0,6.667,0,0,0,0,0,0,6.667,0,0,6.667,0,0,0,0
sponge,COS3_bin_4,0,0,2.632,0,15.789,0,13.158,2.632,2.632,13.158,0,0,0,2.632,2.632,0,2.632,0,2.632,0,2.632,0,2.632,0,0,0,2.632,2.632,2.632,0,0,0,0,0,2.632,5.263,0,2.632,0,0,0,0,0,13.158,0,0,0,0,0,2.632
sponge,CAR3_bin_18,0,2.273,0,0,4.545,0,0,2.273,2.273,2.273,0,0,2.273,4.545,0,2.273,2.273,0,2.273,0,2.273,0,0,0,2.273,0,0,2.273,4.545,4.545,2.273,0,0,2.273,0,2.273,2.273,0,2.273,2.273,0,0,0,0,0,0,20.455,2.273,2.273,18.182
sponge,COS36388_bin_6,0,3.03,0,0,6.061,0,6.061,3.03,3.03,3.03,0,0,0,3.03,0,0,3.03,0,3.03,0,0,3.03,3.03,0,0,3.03,3.03,0,3.03,0,0,3.03,0,0,6.061,6.061,0,3.03,0,0,0,0,0,3.03,0,0,6.061,0,0,24.242
sponge,IRC_PAM_SB0661_bin_31,0,0,0,0,0,0,0,5.263,5.263,5.263,0,0,0,5.263,0,0,5.263,0,5.263,5.263,5.263,0,0,0,5.263,0,0,5.263,15.789,5.263,0,5.263,0,5.263,0,5.263,0,0,0,0,0,0,0,0,0,0,5.263,0,0,5.263
sponge,RHO2_bin_38,0,5.263,0,0,0,0,0,5.263,5.263,0,0,0,0,5.263,0,0,5.263,5.263,0,0,5.263,0,0,0,5.263,0,0,0,0,5.263,0,5.263,0,0,0,10.526,0,0,0,0,0,0,0,0,0,0,21.053,0,0,15.789
seawater,seawater_bettina_36309_bin_5,0,0,0,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,6.25,0,6.25,0,0,6.25,12.5,6.25,6.25,0,6.25,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,0,6.25,0,0
sponge,RHO2_bin_10,0,4.167,0,0,4.167,4.167,0,4.167,8.333,4.167,0,0,0,8.333,0,0,4.167,4.167,0,0,4.167,0,4.167,0,4.167,0,0,0,4.167,4.167,0,0,0,0,12.5,8.333,0,0,0,0,0,0,0,0,0,0,0,4.167,0,8.333
sponge,COS36406_bin_7,0,2.703,0,0,0,0,0,2.703,2.703,2.703,0,0,0,13.514,0,2.703,2.703,0,5.405,0,2.703,0,0,0,2.703,0,2.703,2.703,10.811,5.405,2.703,0,0,2.703,0,2.703,2.703,0,2.703,2.703,0,2.703,5.405,0,5.405,2.703,0,0,2.703,2.703
sponge,IRC_PAM_SB0661_bin_19,0,4.348,0,0,4.348,0,0,4.348,4.348,8.696,0,0,0,8.696,0,0,4.348,4.348,0,8.696,0,0,0,0,4.348,4.348,4.348,0,0,0,0,0,0,0,8.696,8.696,0,0,0,0,0,0,0,0,4.348,0,4.348,0,0,8.696
sponge,IRC2_bin_4,0,3.846,0,0,0,0,3.846,3.846,3.846,0,0,0,0,7.692,0,0,3.846,3.846,0,3.846,3.846,0,0,0,0,0,0,0,0,3.846,0,3.846,0,0,7.692,23.077,0,0,0,0,0,0,0,0,7.692,3.846,7.692,0,0,3.846
sponge,APA_bin_38,0,3.03,0,0,12.121,0,3.03,3.03,3.03,3.03,0,3.03,0,3.03,0,0,6.061,0,0,0,3.03,0,3.03,0,0,6.061,0,0,0,0,0,3.03,3.03,0,0,3.03,0,3.03,0,0,0,0,0,12.121,0,0,0,3.03,0,21.212
sponge,COS36405_bin_11,0,3.846,0,0,0,0,0,0,3.846,3.846,0,0,0,7.692,0,7.692,3.846,0,3.846,0,3.846,0,0,0,3.846,0,7.692,0,0,7.692,3.846,0,0,3.846,0,0,3.846,0,3.846,0,0,0,3.846,0,3.846,3.846,3.846,0,3.846,7.692
sponge,RHO3_bin_7,0,2.941,0,0,11.765,0,2.941,2.941,2.941,2.941,0,2.941,2.941,2.941,0,0,5.882,0,0,0,2.941,0,0,0,0,5.882,0,0,0,0,0,2.941,2.941,0,0,5.882,0,2.941,0,0,0,0,0,14.706,0,2.941,8.824,2.941,0,5.882
sponge,APA_bin_10,0,3.571,0,0,3.571,3.571,3.571,3.571,3.571,3.571,0,3.571,0,7.143,0,0,7.143,0,3.571,0,3.571,0,3.571,0,0,3.571,0,0,0,3.571,0,0,0,0,14.286,7.143,0,0,0,0,0,0,0,0,0,0,3.571,3.571,0,10.714
sponge,IRC4_bin_49,0,0,0,0,0,0,0,6.25,0,0,0,6.25,0,0,0,0,6.25,0,6.25,6.25,6.25,0,0,0,6.25,0,0,6.25,12.5,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,6.25,0,0,0,12.5,0,0,6.25
sponge,IRC_PAM_SB0664_bin_2,0,4.0,0,0,0,0,0,4.0,4.0,0,0,0,0,0,0,0,4.0,0,0,0,4.0,0,0,0,4.0,0,0,4.0,8.0,4.0,4.0,0,4.0,4.0,0,4.0,4.0,0,4.0,0,0,0,12.0,0,0,4.0,12.0,4.0,4.0,0
sponge,CAR4_bin_3,0,0,0,0,2.857,0,0,2.857,2.857,0,0,0,0,2.857,2.857,0,2.857,0,0,2.857,2.857,0,2.857,0,2.857,0,2.857,2.857,2.857,2.857,0,2.857,2.857,0,0,2.857,0,0,0,0,0,0,0,0,0,0,14.286,2.857,0,34.286
sponge,COS36387_bin_22,0,2.778,0,0,0,0,2.778,2.778,2.778,2.778,0,0,0,2.778,0,0,2.778,0,2.778,0,2.778,0,2.778,0,0,0,2.778,0,5.556,2.778,0,0,0,0,13.889,5.556,0,0,0,0,0,0,0,0,0,0,0,0,0,41.667
sponge,IRC3_bin_12,0,3.226,0,0,0,0,0,3.226,3.226,0,0,0,0,3.226,0,3.226,6.452,0,0,0,3.226,0,0,0,3.226,6.452,0,0,0,3.226,0,3.226,0,0,9.677,6.452,0,0,0,0,0,0,0,0,3.226,3.226,19.355,0,0,16.129
sponge,IRC_PAM_SB0675_bin_22,0,2.0,0,0,12.0,0,2.0,2.0,2.0,2.0,0,2.0,0,2.0,0,0,4.0,0,0,0,2.0,0,2.0,0,0,4.0,0,0,0,0,0,2.0,2.0,0,0,4.0,0,2.0,0,0,0,0,0,10.0,0,0,8.0,2.0,2.0,30.0
sponge,RHO3_bin_54,0,2.941,0,0,0,0,0,2.941,2.941,5.882,0,0,0,5.882,0,0,2.941,0,0,0,2.941,0,2.941,0,2.941,11.765,2.941,0,0,2.941,0,0,0,0,5.882,5.882,0,0,0,0,0,0,2.941,0,14.706,2.941,0,0,0,17.647
sponge,RHO3_bin_40,0,3.03,3.03,0,12.121,0,9.091,3.03,3.03,6.061,0,0,0,3.03,0,0,3.03,0,3.03,0,3.03,0,3.03,0,0,0,6.061,0,0,0,0,3.03,0,0,0,6.061,0,3.03,0,0,0,0,3.03,0,0,3.03,9.091,0,0,12.121
sponge,RHO3_bin_68,0,4.167,0,0,4.167,0,0,4.167,4.167,8.333,0,0,0,4.167,0,0,4.167,4.167,0,8.333,0,0,0,0,4.167,8.333,4.167,0,0,0,0,0,0,0,8.333,8.333,0,0,0,0,0,0,0,0,4.167,0,12.5,0,0,4.167
sponge,COS36387_bin_20,0,3.125,0,0,6.25,0,9.375,0,3.125,3.125,0,0,0,0,0,0,3.125,0,0,0,3.125,3.125,3.125,0,0,3.125,3.125,0,6.25,3.125,0,3.125,0,0,9.375,6.25,0,6.25,0,0,0,0,0,3.125,0,0,0,0,0,18.75
sponge,IRC_PAM_SB0675_bin_20,0,0,0,0,0,0,0,11.111,5.556,0,0,0,0,0,5.556,0,5.556,0,5.556,0,5.556,0,0,0,5.556,0,0,5.556,16.667,0,0,0,0,5.556,0,5.556,0,0,0,0,0,0,5.556,0,0,0,5.556,0,0,11.111
sponge,IRC_PAM_SB0664_bin_22,0,0,0,0,11.111,0,7.407,3.704,3.704,11.111,0,0,7.407,3.704,0,0,3.704,0,3.704,0,3.704,0,3.704,0,0,0,0,3.704,0,3.704,0,0,0,0,0,7.407,0,3.704,0,0,0,0,0,3.704,0,0,3.704,0,0,11.111
sponge,IRC3_bin_10,0,1.852,0,0,3.704,0,1.852,1.852,1.852,1.852,0,0,0,0,0,0,1.852,0,1.852,0,1.852,1.852,1.852,0,0,1.852,1.852,1.852,3.704,1.852,0,1.852,0,0,3.704,3.704,0,1.852,0,0,0,0,0,0,0,0,1.852,0,0,53.704
sponge,STY4_bin_7,0,8.333,0,0,8.333,0,0,8.333,8.333,0,0,0,0,8.333,0,0,8.333,0,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,8.333,0,0,0,0,0,0,0,0,16.667,0,0,8.333
seawater,seawater_bettina_36310_bin_4,0,3.333,0,3.333,0,0,3.333,3.333,3.333,3.333,0,0,3.333,10.0,0,0,3.333,0,3.333,0,3.333,0,0,0,3.333,0,0,3.333,6.667,3.333,3.333,0,3.333,3.333,0,3.333,3.333,0,3.333,3.333,3.333,0,0,3.333,0,0,0,3.333,3.333,3.333
sponge,CAR4_bin_1,0,2.857,0,0,2.857,0,8.571,2.857,2.857,2.857,0,0,0,5.714,0,2.857,2.857,0,2.857,0,2.857,0,0,0,0,2.857,0,8.571,2.857,5.714,2.857,0,0,2.857,0,2.857,2.857,0,2.857,2.857,0,0,0,0,0,0,5.714,0,2.857,14.286
sponge,APA_bin_12,0,0,0,0,0,0,0,0,8.333,0,0,0,0,8.333,0,0,8.333,0,8.333,0,8.333,0,0,0,8.333,0,0,0,0,8.333,0,0,8.333,0,0,8.333,0,0,0,0,0,8.333,0,0,0,0,8.333,8.333,0,0
sponge,IRC2_bin_6,0,1.818,0,0,3.636,0,1.818,1.818,1.818,1.818,0,0,0,0,0,0,1.818,0,1.818,0,1.818,1.818,1.818,0,0,1.818,1.818,1.818,3.636,1.818,0,1.818,0,0,3.636,3.636,0,1.818,0,0,0,0,0,0,0,0,1.818,0,0,54.545
sponge,RHO3_bin_5,0,0,0,0,7.692,0,3.846,3.846,3.846,0,0,0,0,0,0,0,3.846,0,0,3.846,3.846,0,3.846,0,3.846,0,3.846,3.846,3.846,3.846,0,3.846,3.846,0,0,3.846,0,0,0,0,0,0,0,0,0,0,19.231,3.846,0,11.538
sponge,RHO2_bin_12,0,2.941,0,0,0,0,0,2.941,2.941,2.941,0,0,0,5.882,0,2.941,2.941,2.941,0,0,2.941,0,0,0,2.941,0,0,2.941,5.882,2.941,2.941,0,2.941,2.941,0,2.941,2.941,0,2.941,2.941,0,0,2.941,2.941,2.941,2.941,5.882,2.941,2.941,11.765
sponge,IRC_PAM_SB0670_bin_19,0,4.545,0,0,9.091,0,0,4.545,4.545,9.091,0,0,4.545,4.545,0,0,4.545,4.545,0,9.091,0,0,0,0,4.545,4.545,4.545,0,0,0,0,0,0,0,9.091,9.091,0,0,0,0,0,0,0,0,4.545,0,0,0,0,4.545
sponge,IRC_PAM_SB0661_bin_33,0,0,0,0,0,0,0,5.263,5.263,5.263,0,0,0,0,0,0,5.263,0,5.263,5.263,5.263,0,0,0,5.263,0,0,5.263,15.789,0,0,0,0,5.263,0,5.263,0,0,0,0,0,0,5.263,0,0,0,10.526,0,0,10.526
seawater,seawater_42617_bin_1,0,3.226,0,0,0,0,0,3.226,3.226,3.226,0,0,3.226,3.226,0,3.226,3.226,0,3.226,0,3.226,0,0,3.226,3.226,0,0,3.226,3.226,3.226,3.226,0,3.226,3.226,0,3.226,6.452,0,3.226,3.226,3.226,3.226,6.452,0,0,6.452,0,3.226,3.226,0
seawater,seawater_22112_bin_8,0,3.571,0,0,0,0,0,3.571,3.571,0,0,3.571,3.571,3.571,3.571,3.571,3.571,0,3.571,0,3.571,0,0,0,3.571,0,0,3.571,0,3.571,3.571,0,3.571,0,0,3.571,3.571,0,3.571,3.571,7.143,0,3.571,0,0,0,10.714,3.571,3.571,0
sponge,IRC_PAM_SB0661_bin_27,0,0,0,0,13.043,0,0,4.348,4.348,13.043,0,4.348,0,4.348,0,0,4.348,0,0,0,4.348,0,4.348,0,0,13.043,0,0,4.348,0,0,4.348,0,0,0,4.348,0,0,0,0,0,0,0,13.043,0,0,0,0,0,4.348
sponge,COS3_bin_6,0,3.704,0,0,0,0,3.704,3.704,3.704,0,0,0,0,7.407,0,0,3.704,0,0,0,3.704,0,0,0,3.704,3.704,0,0,3.704,3.704,0,11.111,0,0,7.407,7.407,0,0,0,0,0,0,0,3.704,0,3.704,11.111,0,0,11.111
sponge,STY1_bin_8,0,2.857,0,0,0,0,0,2.857,2.857,2.857,0,0,2.857,5.714,0,0,2.857,0,2.857,0,2.857,0,0,0,2.857,0,0,0,2.857,0,0,2.857,0,2.857,0,2.857,0,2.857,0,0,0,0,0,0,0,0,5.714,0,0,48.571
sponge,COS36388_bin_4,0,5.0,0,0,5.0,5.0,0,5.0,5.0,5.0,0,0,0,10.0,0,0,5.0,0,0,0,5.0,0,5.0,0,5.0,0,0,0,0,5.0,0,0,0,0,15.0,10.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,5.0
sponge,COS4_bin_40,0,5.0,0,0,10.0,0,15.0,5.0,5.0,5.0,0,0,0,0,0,0,5.0,0,0,0,5.0,0,5.0,0,5.0,10.0,5.0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
sponge,IRC4_bin_1,0,0,0,0,0,0,4.167,4.167,4.167,8.333,0,8.333,0,0,0,0,4.167,0,0,4.167,4.167,0,4.167,0,4.167,12.5,4.167,0,4.167,4.167,0,4.167,0,4.167,0,4.167,0,4.167,0,0,0,0,0,4.167,0,0,0,0,0,4.167
sponge,IRC_PAM_SB0662_bin_7,0,0,0,0,0,0,0,3.846,3.846,7.692,0,0,0,7.692,0,3.846,3.846,0,3.846,0,3.846,0,0,0,3.846,3.846,3.846,0,3.846,3.846,0,0,0,3.846,0,3.846,3.846,0,3.846,3.846,0,0,3.846,0,3.846,3.846,0,0,3.846,7.692
sponge,CHO1_bin_2,0,0,0,0,0,0,5.0,5.0,5.0,0,0,0,0,0,0,0,5.0,0,5.0,0,5.0,0,0,0,5.0,0,0,5.0,10.0,5.0,5.0,0,5.0,0,0,0,0,5.0,0,0,0,5.0,5.0,0,0,0,15.0,5.0,0,0
sponge,IRC_PAM_SB0662_bin_15,0,2.564,0,0,7.692,0,5.128,2.564,2.564,5.128,0,2.564,0,2.564,0,0,5.128,0,0,0,2.564,0,0,0,0,7.692,0,0,0,0,0,2.564,2.564,0,0,2.564,0,2.564,0,0,0,0,0,15.385,0,2.564,15.385,2.564,0,7.692
sponge,CAR2_bin_6,0,0,0,0,2.857,0,0,2.857,2.857,0,0,0,0,2.857,2.857,0,2.857,0,0,2.857,2.857,0,2.857,0,2.857,0,2.857,2.857,2.857,2.857,0,2.857,2.857,0,0,2.857,0,0,0,0,0,0,0,0,0,0,11.429,2.857,0,37.143
sponge,RHO1_bin_34,0,0,0,0,0,0,4.545,4.545,4.545,13.636,0,4.545,0,0,0,0,4.545,0,0,0,4.545,0,4.545,0,4.545,4.545,4.545,0,4.545,4.545,0,9.091,0,0,0,0,0,4.545,0,0,0,0,0,4.545,0,0,4.545,0,0,9.091
sponge,RHO1_bin_20,0,3.846,0,0,7.692,0,0,3.846,3.846,7.692,0,0,0,3.846,0,0,3.846,3.846,0,7.692,0,0,0,0,3.846,3.846,3.846,0,0,0,0,0,0,0,7.692,7.692,0,0,0,0,0,0,0,0,3.846,0,7.692,3.846,0,11.538
sponge,RHO1_bin_21,0,3.448,0,0,3.448,3.448,3.448,3.448,3.448,3.448,0,3.448,0,6.897,0,0,3.448,0,3.448,0,3.448,0,3.448,0,0,3.448,0,0,0,3.448,0,0,0,0,13.793,6.897,0,0,0,0,0,0,0,0,0,0,6.897,0,0,17.241
seawater,seawater_bettina_36328_bin_7,0,3.125,0,3.125,0,0,3.125,3.125,3.125,3.125,0,3.125,3.125,9.375,0,0,3.125,0,3.125,0,3.125,0,0,0,3.125,3.125,0,3.125,3.125,6.25,3.125,0,3.125,3.125,0,3.125,3.125,0,3.125,3.125,3.125,0,3.125,0,0,0,0,3.125,3.125,3.125
